"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"U11","COMPONENT_6","12.751mm","10.846mm","12.734mm","10.839mm","10.232mm","15.284mm","T","0","74HC595D"
"R39","COMPONENT_5","16.916mm","4.013mm","16.925mm","4.007mm","","","T","90","1K"
"R38","COMPONENT_5","14.884mm","4.013mm","14.893mm","4.007mm","","","T","90","1K"
"R27","COMPONENT_5","6.731mm","7.722mm","6.74mm","7.715mm","","","T","0","1K"
"R28","COMPONENT_5","6.756mm","10.262mm","6.765mm","10.255mm","","","T","0","1K"
"R29","COMPONENT_5","6.782mm","13.919mm","6.791mm","13.913mm","","","T","0","1K"
"R30","COMPONENT_5","6.782mm","15.545mm","6.791mm","15.538mm","","","T","0","1K"
"R34","COMPONENT_5","14.021mm","17.399mm","14.03mm","17.392mm","","","T","0","1K"
"R32","COMPONENT_5","10.973mm","17.399mm","10.982mm","17.392mm","","","T","0","1K"
"C19","COMPONENT_4","6.858mm","17.272mm","6.842mm","17.265mm","5.94mm","17.265mm","T","0","104"
"D9","COMPONENT_3","6.807mm","22.022mm","6.807mm","22.022mm","7.899mm","22.009mm","T","180","S4"
"J35","COMPONENT_2","7.976mm","4.013mm","7.985mm","4.007mm","13.065mm","4.032mm","T","0","5PФІїЧЕЕДёDS18B20"
"J34","COMPONENT_2","7.95mm","19.202mm","7.959mm","19.196mm","13.039mm","19.221mm","T","0","5PФІїЧЕЕДёDS18B20"
"J37","COMPONENT_1","9.855mm","28.448mm","9.839mm","28.441mm","4.771mm","28.416mm","T","0","2.54ЕЕХл5PєЪЙ«"
